gen,ADF,ADICP,aNDF,Ash,Ca,CP,DM,ESC,Fat,K,Lignin,Mg,NDICP,P,Starch,WSC
87,30.5910376928845,0.549548274183099,35.8126938281166,9.45542736437533,1.1690103040398,21.5195719561353,94.5637570092728,6.20966509402992,1.45320879066929,0.606359753774317,6.10794887189384,0.570527913520706,0.915420746447261,0.672056572951554,1.54198243530935,7.91178201476976
88,30.5270974685708,0.547894526397894,35.6891910615355,9.42897738917845,1.16555652156042,21.6326627026198,94.5974948522469,6.20377765435153,1.4040877016153,0.608842074863162,6.02834978269045,0.570263895394795,0.917511793954881,0.799549754618696,1.5540996168503,7.89914694451751
89,30.7051176025661,0.54421450102488,35.9311874140009,9.45342443046132,1.16739331503901,21.4465243256805,94.5546151690264,6.20517519477677,1.37200644494981,0.606162064581517,6.06145399128147,0.571836100688235,0.914983503078453,0.722147810842993,1.53576162048282,7.91341742018028
90,30.1742397231651,0.540799668489657,35.4175012373575,9.40972263000512,1.15451924559941,21.7621097775334,94.5774543409635,6.21504486827396,1.35924920536679,0.604512432421675,5.99654525118092,0.571973073214402,0.918397374067118,0.86628641767959,1.56276760018618,7.90907158506737
91,30.2055534536176,0.544926139161221,35.4195655617708,9.45460921474071,1.16704035161925,21.6411592610126,94.5743003606119,6.20196788076851,1.3695296990789,0.608687456815781,6.03212196453803,0.57471146800849,0.919804320414639,0.78465678704582,1.52281085209218,7.91883551371547
92,30.9640592985993,0.540808689382372,36.3805017388712,9.45389287063453,1.1648885676823,21.2766042224144,94.5762398985942,6.21647108363051,1.42810918731521,0.603952050345634,6.10988472832223,0.569522473286737,0.913681842653322,0.644739473453525,1.52429519558689,7.89789989232908
93,30.5076528247622,0.551080530309296,35.7232074218485,9.46037105879716,1.1626958554561,21.5688714067897,94.5790410159939,6.21151647987767,1.4243026944112,0.605741616853111,6.07259633278493,0.571905873724433,0.91348883623109,0.838573197985804,1.55517795264353,7.91314931270871
94,30.6377871069636,0.548910563257522,35.775321949937,9.44338193437556,1.16699601865032,21.5090269008624,94.5882357749188,6.20486424993222,1.44223745471155,0.60851916762986,6.1051086618379,0.571100433765093,0.915715575497477,0.757175501078416,1.54912406046815,7.91146171308301
95,30.3304270172652,0.54978465769444,35.364668024015,9.4666866234705,1.17135710437526,21.6025190315881,94.5803839232279,6.20480820828539,1.358082322257,0.608450107157479,5.93562518961382,0.573556994513617,0.918763277885175,0.819479964283246,1.53775139944671,7.89360145286881
96,30.7362374808028,0.547390732340219,35.9700996734391,9.45084413262955,1.16611981255283,21.4393309560428,94.5881914648022,6.20412786284839,1.40975757472012,0.608727727242366,6.10793095796145,0.569776131562322,0.91585248030234,0.807584794426098,1.51600518425884,7.92280889011411
97,30.6345950041296,0.543563296426845,35.9142104124749,9.42810629078262,1.1700853392728,21.5194544394642,94.5736294226651,6.20508815687961,1.44140385922805,0.607776650156358,6.0809428663902,0.576693255885095,0.91313408497232,0.823217293985021,1.49041682313304,7.91175717977337
98,30.5336369342676,0.547176670081993,35.7177154421932,9.45928950173539,1.16757742682253,21.5031048237594,94.5790803718407,6.21205478334911,1.40004487296608,0.606546917355794,6.03840812001632,0.57380457368999,0.915689071386528,0.69294737714699,1.53428159868036,7.91247340792528
99,30.5118946720677,0.545431271851935,35.7524512369757,9.43154144736437,1.1659524781469,21.5320460848356,94.5778449834862,6.20034446279831,1.47204253265566,0.607007517204548,6.04259410850891,0.573209209228752,0.915037805671291,0.807847099868227,1.53720765499282,7.92663241152028
100,30.2896102383378,0.546018875415757,35.4436170526476,9.47555801202393,1.16847698396663,21.6111621694674,94.5768601652069,6.20750219206425,1.38398956215862,0.608553617627976,5.98422781285496,0.57278803895194,0.917423574594969,0.854715204757647,1.54333715314197,7.90591613474334
101,30.6546846632209,0.545812145584667,35.8868131228425,9.44743105432356,1.15558058986684,21.4970778052139,94.5733575973176,6.19903888127944,1.41319961288944,0.606365013987604,6.07455805240285,0.572473595387205,0.917233940377034,0.747005702669158,1.52991006730613,7.90141129482106
102,30.7595336730842,0.545468812731242,35.9478569716346,9.45723420009198,1.16572058681807,21.5242577473514,94.5785416500462,6.20270256769776,1.44100754523557,0.607869416507807,6.09349439046787,0.573570703207905,0.914227054234179,0.709740752956466,1.52983245605822,7.90497509889476
103,30.7098668071541,0.543533199846733,35.9532820759141,9.45893904252951,1.17036279750646,21.5566192112398,94.5987424697591,6.20856697045678,1.39630588789211,0.605725336716352,6.12534241537333,0.569214340421795,0.912334006480766,0.742859171480367,1.51001471273702,7.90932154695181
104,30.658937631206,0.546726743052704,35.8214464325513,9.42973155329474,1.16231303556974,21.7233374680191,94.5901579924859,6.19152652751112,1.37685057778488,0.608034686365883,6.07077484910883,0.573392943040373,0.919290881028404,0.70866925274123,1.51638076829507,7.91187763121438
105,30.589341442206,0.54790869328595,35.7127349311241,9.47934801394985,1.16508717074441,21.7005907173274,94.5788078557449,6.19342157978506,1.38389521313384,0.607826782565681,6.07305212640344,0.571516012143582,0.916808776637902,0.732270633163016,1.51012645901813,7.90449736687854
106,31.004375563054,0.541771805628935,36.158768696682,9.44255157539565,1.15979280984164,21.4378005844348,94.5930609819787,6.20426669362605,1.40890885564049,0.604930729724237,6.15144460459109,0.56883846721143,0.914252696002035,0.69772464293794,1.50935705685999,7.91888354406809
107,30.3188582078124,0.547873326285776,35.5661965590114,9.43772750907991,1.15848657976308,21.4934189997584,94.5610472321858,6.22028685628355,1.39548567928224,0.606011034960372,5.9950892431346,0.573872304917138,0.915967463061497,0.711231898924145,1.55066681918352,7.92512604084104
108,30.4490165629495,0.548287301897753,35.5856940328532,9.45683675220963,1.15083633478094,21.5427744802225,94.5918088425375,6.21658572804857,1.37878046858073,0.606796992868166,5.96835148558717,0.575027409935677,0.918831786674469,0.742211722845796,1.55462215629463,7.91026640913949
